,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
2521,Georgetown,32,0,10.2,0.5,1.2,.459,0.0,0.3,.091,0.2,0.4,.615,0.7,1.1,1.8,0.4,0.2,0.5,1.7,0.8,1.3,https://basketball.realgm.com/player/Jerrelle-Benimon/NCAA/6089/2011/By_Season/Per_Game,Undrafted,2010-11
2522,Georgetown,29,0,12.1,0.4,1.1,.394,0.0,0.2,.167,0.5,0.7,.667,0.7,1.3,2.0,0.4,0.2,0.3,1.7,0.8,1.4,https://basketball.realgm.com/player/Jerrelle-Benimon/NCAA/6089/2010/By_Season/Per_Game,Undrafted,2009-10
2523,Towson,36,36,36.3,6.2,11.8,.529,0.4,1.2,.318,5.8,8.1,.713,2.3,8.9,11.2,3.6,0.7,1.2,2.9,3.4,18.7,https://basketball.realgm.com/player/Jerrelle-Benimon/NCAA/6089/2014/By_Season/Per_Game,Undrafted,2013-14
2524,New Mexico State,30,24,26.3,4.2,6.4,.648,0.0,0.0,.000,2.1,3.9,.538,2.7,5.2,7.8,1.4,0.1,3.4,2.8,2.1,10.4,https://basketball.realgm.com/player/Sim-Bhullar/NCAA/24708/2014/By_Season/Per_Game,Undrafted,2013-14
2525,New Mexico State,35,26,24.4,4.0,6.4,.621,0.0,0.0,.000,2.1,4.5,.465,2.5,4.1,6.7,0.7,0.1,2.4,2.1,1.3,10.1,https://basketball.realgm.com/player/Sim-Bhullar/NCAA/24708/2013/By_Season/Per_Game,Undrafted,2012-13
2526,New Mexico State,30,24,26.3,4.2,6.4,.648,0.0,0.0,.000,2.1,3.9,.538,2.7,5.2,7.8,1.4,0.1,3.4,2.8,2.1,10.4,https://basketball.realgm.com/player/Sim-Bhullar/NCAA/24708/2014/By_Season/Per_Game,Undrafted,2013-14
2527,UNLV,33,32,31.4,3.8,7.4,.510,0.0,0.0,.000,4.0,5.7,.693,4.0,6.2,10.2,1.2,0.6,3.8,2.3,1.3,11.5,https://basketball.realgm.com/player/Khem-Birch/NCAA/24151/2014/By_Season/Per_Game,Undrafted,2013-14
2528,UNLV,26,15,21.8,2.6,4.6,.563,0.0,0.0,.000,2.0,3.1,.642,2.3,3.4,5.7,0.6,0.7,2.6,2.0,1.2,7.2,https://basketball.realgm.com/player/Khem-Birch/NCAA/24151/2013/By_Season/Per_Game,Undrafted,2012-13
2529,Pittsburgh,10,6,15.0,1.6,2.8,.571,0.0,0.0,.000,1.2,2.2,.545,2.1,2.9,5.0,0.0,0.2,1.9,2.1,0.7,4.4,https://basketball.realgm.com/player/Khem-Birch/NCAA/24151/2012/By_Season/Per_Game,Undrafted,2011-12
2530,UNLV,33,32,31.4,3.8,7.4,.510,0.0,0.0,.000,4.0,5.7,.693,4.0,6.2,10.2,1.2,0.6,3.8,2.3,1.3,11.5,https://basketball.realgm.com/player/Khem-Birch/NCAA/24151/2014/By_Season/Per_Game,Undrafted,2013-14
2531,Missouri,35,35,37.1,5.8,12.4,.467,2.3,5.6,.410,6.1,7.6,.797,0.5,3.9,4.4,1.9,0.6,0.1,1.6,2.3,19.9,https://basketball.realgm.com/player/Jabari-Brown/NCAA/24164/2014/By_Season/Per_Game,Undrafted,2013-14
2532,Missouri,25,24,32.7,4.0,10.0,.404,2.2,6.1,.366,3.4,4.3,.785,0.5,2.9,3.4,1.4,0.7,0.0,2.0,1.7,13.7,https://basketball.realgm.com/player/Jabari-Brown/NCAA/24164/2013/By_Season/Per_Game,Undrafted,2012-13
2533,Oregon,2,2,25.5,1.5,5.5,.273,0.5,3.5,.143,2.5,6.0,.417,0.0,2.0,2.0,0.5,0.5,0.0,1.5,5.5,6.0,https://basketball.realgm.com/player/Jabari-Brown/NCAA/24164/2012/By_Season/Per_Game,Undrafted,2011-12
2534,Missouri,35,35,37.1,5.8,12.4,.467,2.3,5.6,.410,6.1,7.6,.797,0.5,3.9,4.4,1.9,0.6,0.1,1.6,2.3,19.9,https://basketball.realgm.com/player/Jabari-Brown/NCAA/24164/2014/By_Season/Per_Game,Undrafted,2013-14
2535,Duke,33,4,13.7,2.5,5.7,.444,1.9,4.6,.421,0.9,1.1,.811,0.2,1.1,1.3,0.4,0.5,0.2,1.3,0.5,7.9,https://basketball.realgm.com/player/Andre-Dawkins/NCAA/3670/2014/By_Season/Per_Game,Undrafted,2013-14
2536,Duke,34,14,22.4,2.7,6.8,.400,2.0,5.0,.392,1.0,1.4,.739,0.3,1.7,2.1,0.6,0.4,0.1,1.8,0.8,8.4,https://basketball.realgm.com/player/Andre-Dawkins/NCAA/3670/2012/By_Season/Per_Game,Undrafted,2011-12
2537,Duke,37,6,21.0,2.7,5.6,.481,1.7,4.1,.427,0.9,1.2,.791,0.2,1.6,1.9,0.6,0.6,0.1,1.6,0.8,8.1,https://basketball.realgm.com/player/Andre-Dawkins/NCAA/3670/2011/By_Season/Per_Game,Undrafted,2010-11
2538,Duke,38,0,12.5,1.4,3.6,0.397,0.9,2.5,0.379,0.7,0.9,0.735,0.2,1.0,1.1,0.3,0.3,0.1,0.9,0.4,4.4,https://basketball.realgm.com/player/Andre-Dawkins/NCAA/3670/2010/By_Season/Per_Game,Undrafted,2009-10
2539,Duke,33,4,13.7,2.5,5.7,.444,1.9,4.6,.421,0.9,1.1,.811,0.2,1.1,1.3,0.4,0.5,0.2,1.3,0.5,7.9,https://basketball.realgm.com/player/Andre-Dawkins/NCAA/3670/2014/By_Season/Per_Game,Undrafted,2013-14
2540,New Mexico,32,31,32.0,5.2,10.5,.490,0.4,1.8,.214,2.6,3.8,.667,2.3,6.4,8.7,1.1,0.4,2.7,2.6,1.8,13.2,https://basketball.realgm.com/player/Alex-Kirk/NCAA/9391/2014/By_Season/Per_Game,Undrafted,2013-14
2541,New Mexico,35,33,29.1,4.5,9.1,.494,0.4,1.3,.277,2.8,3.9,.715,2.4,5.7,8.1,0.5,0.4,1.8,2.2,1.5,12.1,https://basketball.realgm.com/player/Alex-Kirk/NCAA/9391/2013/By_Season/Per_Game,Undrafted,2012-13
