,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
5728,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
5729,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
5730,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
5731,Mohamed Bamba,C,-,-,-,-,-,-
5732,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
5733,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
5734,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
5735,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
5736,Miles Bridges,SF,-,-,-,-,-,-
5737,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
5738,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
5739,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
5740,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
5741,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
5742,Wendell Carter,C-PF,-,-,-,-,-,-
5743,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
5744,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
5745,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
5746,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
5747,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
5748,Keenan Evans,PG,-,-,-,-,-,-
5749,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
5750,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
5751,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
5752,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
5753,Isaac Haas,C,-,-,-,-,-,-
5754,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
5755,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
5756,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
5757,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
5758,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
5759,Jaren Jackson,PF-C,-,-,-,-,-,-
5760,Justin Jackson,PF,-,-,-,-,-,-
5761,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
5762,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
5763,Kevin Knox,SF,-,-,-,-,-,-
5764,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
5765,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
5766,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
5767,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
5768,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
5769,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
5770,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
5771,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
5772,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
5773,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
5774,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
5775,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
5776,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
5777,Michael Porter,SF-PF,-,-,-,-,-,-
5778,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
5779,Jerome Robinson,SG,-,-,-,-,-,-
5780,Collin Sexton,PG,-,-,-,-,-,-
5781,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
5782,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
5783,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
5784,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
5785,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
5786,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
5787,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
5788,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
5789,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
5790,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
5791,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
5792,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
5793,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
5794,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
5795,Trae Young,PG,-,-,-,-,-,-
5796,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
5797,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
5798,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
5799,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
5800,Mohamed Bamba,C,-,-,-,-,-,-
5801,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
5802,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
5803,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
5804,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
5805,Miles Bridges,SF,-,-,-,-,-,-
5806,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
5807,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
5808,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
5809,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
5810,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
5811,Wendell Carter,C-PF,-,-,-,-,-,-
