,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
1832,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
1833,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
1834,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
1835,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
1836,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
1837,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
1838,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
1839,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
1840,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
1841,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
1842,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
1843,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
1844,Michael Porter,SF-PF,-,-,-,-,-,-
1845,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
1846,Jerome Robinson,SG,-,-,-,-,-,-
1847,Collin Sexton,PG,-,-,-,-,-,-
1848,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
1849,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
1850,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
1851,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
1852,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
1853,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
1854,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
1855,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
1856,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
1857,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
1858,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
1859,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
1860,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
1861,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
1862,Trae Young,PG,-,-,-,-,-,-
1863,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
1864,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
1865,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
1866,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
1867,Mohamed Bamba,C,-,-,-,-,-,-
1868,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
1869,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
1870,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
1871,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
1872,Miles Bridges,SF,-,-,-,-,-,-
1873,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
1874,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
1875,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
1876,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
1877,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
1878,Wendell Carter,C-PF,-,-,-,-,-,-
1879,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
1880,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
1881,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
1882,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
1883,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
1884,Keenan Evans,PG,-,-,-,-,-,-
1885,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
1886,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
1887,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
1888,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
1889,Isaac Haas,C,-,-,-,-,-,-
1890,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
1891,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
1892,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
1893,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
1894,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
1895,Jaren Jackson,PF-C,-,-,-,-,-,-
1896,Justin Jackson,PF,-,-,-,-,-,-
1897,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
1898,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
1899,Kevin Knox,SF,-,-,-,-,-,-
1900,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
1901,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
1902,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
1903,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
1904,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
1905,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
1906,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
1907,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
1908,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
1909,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
1910,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
1911,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
1912,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
1913,Michael Porter,SF-PF,-,-,-,-,-,-
1914,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
1915,Jerome Robinson,SG,-,-,-,-,-,-
1916,Collin Sexton,PG,-,-,-,-,-,-
1917,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
1918,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
1919,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
1920,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
1921,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
1922,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
1923,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
1924,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
1925,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
1926,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
1927,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
1928,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
1929,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
1930,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
1931,Trae Young,PG,-,-,-,-,-,-
1932,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
1933,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
1934,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
1935,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
1936,Mohamed Bamba,C,-,-,-,-,-,-
1937,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
1938,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
1939,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
1940,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
1941,Miles Bridges,SF,-,-,-,-,-,-
1942,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
1943,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
1944,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
1945,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
1946,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
1947,Wendell Carter,C-PF,-,-,-,-,-,-
1948,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
1949,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
1950,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
1951,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
1952,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
1953,Keenan Evans,PG,-,-,-,-,-,-
1954,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
1955,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
1956,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
1957,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
1958,Isaac Haas,C,-,-,-,-,-,-
1959,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
1960,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
1961,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
1962,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
1963,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
1964,Jaren Jackson,PF-C,-,-,-,-,-,-
1965,Justin Jackson,PF,-,-,-,-,-,-
1966,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
1967,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
1968,Kevin Knox,SF,-,-,-,-,-,-
1969,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
1970,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
1971,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
1972,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
1973,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
1974,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
1975,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
1976,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
1977,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
1978,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
1979,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
1980,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
1981,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
1982,Michael Porter,SF-PF,-,-,-,-,-,-
1983,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
1984,Jerome Robinson,SG,-,-,-,-,-,-
1985,Collin Sexton,PG,-,-,-,-,-,-
1986,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
1987,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
1988,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
1989,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
1990,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
1991,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
1992,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
1993,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
1994,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
1995,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
1996,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
1997,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
1998,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
1999,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
2000,Trae Young,PG,-,-,-,-,-,-
2001,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
2002,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2003,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
2004,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
2005,Mohamed Bamba,C,-,-,-,-,-,-
2006,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
2007,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
2008,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
2009,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
2010,Miles Bridges,SF,-,-,-,-,-,-
2011,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
2012,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
2013,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
2014,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
2015,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
2016,Wendell Carter,C-PF,-,-,-,-,-,-
2017,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
2018,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
2019,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
2020,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
2021,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
2022,Keenan Evans,PG,-,-,-,-,-,-
2023,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
2024,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
2025,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
2026,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
2027,Isaac Haas,C,-,-,-,-,-,-
2028,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
2029,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
2030,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
2031,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
2032,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
2033,Jaren Jackson,PF-C,-,-,-,-,-,-
2034,Justin Jackson,PF,-,-,-,-,-,-
2035,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
2036,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
2037,Kevin Knox,SF,-,-,-,-,-,-
2038,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
2039,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
2040,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
2041,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
2042,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
2043,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
2044,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
2045,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
2046,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
2047,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
2048,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
2049,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
2050,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
2051,Michael Porter,SF-PF,-,-,-,-,-,-
2052,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
2053,Jerome Robinson,SG,-,-,-,-,-,-
2054,Collin Sexton,PG,-,-,-,-,-,-
2055,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
2056,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
2057,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
2058,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
2059,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
2060,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
2061,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
2062,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
2063,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
2064,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
2065,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
2066,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
2067,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
2068,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
2069,Trae Young,PG,-,-,-,-,-,-
2070,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
2071,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2072,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
2073,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
2074,Mohamed Bamba,C,-,-,-,-,-,-
2075,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
2076,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
2077,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
2078,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
2079,Miles Bridges,SF,-,-,-,-,-,-
2080,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
2081,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
2082,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
2083,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
2084,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
2085,Wendell Carter,C-PF,-,-,-,-,-,-
2086,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
2087,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
2088,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
2089,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
2090,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
2091,Keenan Evans,PG,-,-,-,-,-,-
2092,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
2093,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
2094,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
2095,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
2096,Isaac Haas,C,-,-,-,-,-,-
2097,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
2098,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
2099,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
2100,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
2101,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
2102,Jaren Jackson,PF-C,-,-,-,-,-,-
2103,Justin Jackson,PF,-,-,-,-,-,-
2104,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
2105,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
2106,Kevin Knox,SF,-,-,-,-,-,-
2107,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
2108,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
2109,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
2110,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
2111,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
2112,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
2113,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
2114,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
2115,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
2116,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
2117,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
2118,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
2119,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
2120,Michael Porter,SF-PF,-,-,-,-,-,-
2121,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
2122,Jerome Robinson,SG,-,-,-,-,-,-
2123,Collin Sexton,PG,-,-,-,-,-,-
2124,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
2125,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
2126,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
2127,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
2128,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
2129,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
2130,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
2131,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
2132,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
2133,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
2134,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
2135,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
2136,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
2137,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
2138,Trae Young,PG,-,-,-,-,-,-
2139,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
2140,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2141,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
2142,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
2143,Mohamed Bamba,C,-,-,-,-,-,-
2144,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
2145,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
2146,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
2147,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
2148,Miles Bridges,SF,-,-,-,-,-,-
2149,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
2150,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
2151,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
2152,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
2153,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
2154,Wendell Carter,C-PF,-,-,-,-,-,-
2155,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
2156,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
2157,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
2158,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
2159,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
2160,Keenan Evans,PG,-,-,-,-,-,-
2161,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
2162,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
2163,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
2164,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
2165,Isaac Haas,C,-,-,-,-,-,-
2166,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
2167,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
2168,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
2169,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
2170,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
2171,Jaren Jackson,PF-C,-,-,-,-,-,-
2172,Justin Jackson,PF,-,-,-,-,-,-
2173,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
2174,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
2175,Kevin Knox,SF,-,-,-,-,-,-
2176,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
2177,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
2178,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
2179,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
2180,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
2181,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
2182,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
2183,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
2184,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
2185,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
2186,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
2187,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
2188,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
2189,Michael Porter,SF-PF,-,-,-,-,-,-
2190,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
2191,Jerome Robinson,SG,-,-,-,-,-,-
2192,Collin Sexton,PG,-,-,-,-,-,-
2193,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
2194,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
2195,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
2196,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
2197,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
2198,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
2199,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
2200,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
2201,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
2202,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
2203,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
2204,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
2205,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
2206,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
2207,Trae Young,PG,-,-,-,-,-,-
2208,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
2209,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2210,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
2211,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
2212,Mohamed Bamba,C,-,-,-,-,-,-
2213,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
2214,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
2215,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
2216,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
2217,Miles Bridges,SF,-,-,-,-,-,-
2218,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
2219,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
2220,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
2221,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
2222,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
