,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
150,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
151,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
152,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
153,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
154,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
155,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
156,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
157,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
158,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
159,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
160,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
161,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
162,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
163,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
164,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
165,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
166,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
167,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
168,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
169,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
170,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
171,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
172,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
173,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
174,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
175,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
176,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
177,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
178,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
179,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
180,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
181,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
182,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
183,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
184,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
185,Mitchell Robinson,New York Knicks,,2018,2,6,36
186,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
187,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
188,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
189,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
190,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
191,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
192,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
193,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
194,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
195,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
196,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
197,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
198,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
199,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
200,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
201,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
202,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
203,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
204,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
205,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
206,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
207,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
208,George King,Phoenix Suns,Colorado,2018,2,29,59
209,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
210,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
211,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
212,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
213,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
214,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
215,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
216,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
217,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
218,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
219,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
220,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
221,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
222,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
223,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
224,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
225,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
226,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
227,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
228,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
229,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
230,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
231,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
232,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
233,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
234,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
235,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
236,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
237,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
238,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
239,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
240,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
241,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
242,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
243,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
244,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
245,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
246,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
247,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
248,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
249,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
250,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
251,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
252,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
253,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
254,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
255,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
256,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
257,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
258,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
259,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
260,Mitchell Robinson,New York Knicks,,2018,2,6,36
261,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
262,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
263,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
264,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
265,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
266,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
267,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
268,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
269,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
270,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
271,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
272,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
273,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
274,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
275,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
276,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
277,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
278,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
279,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
280,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
281,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
282,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
283,George King,Phoenix Suns,Colorado,2018,2,29,59
284,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
285,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
286,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
287,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
288,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
289,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
290,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
291,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
292,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
293,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
294,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
295,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
296,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
297,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
298,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
299,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
300,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
301,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
302,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
303,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
304,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
305,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
306,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
307,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
308,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
309,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
310,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
311,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
312,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
313,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
314,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
315,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
316,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
317,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
318,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
319,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
320,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
321,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
322,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
323,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
324,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
325,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
326,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
327,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
328,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
329,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
330,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
331,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
332,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
333,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
334,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
335,Mitchell Robinson,New York Knicks,,2018,2,6,36
336,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
337,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
338,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
339,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
340,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
341,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
342,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
343,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
344,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
345,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
346,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
347,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
348,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
349,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
350,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
351,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
352,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
353,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
354,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
355,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
356,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
357,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
358,George King,Phoenix Suns,Colorado,2018,2,29,59
359,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
360,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
361,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
362,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
363,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
364,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
365,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
366,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
367,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
368,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
369,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
370,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
371,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
372,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
