,Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
4393,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
4394,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
4395,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
4396,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
4397,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
4398,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
4399,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
4400,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
4401,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
4402,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
4403,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
4404,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
4405,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
4406,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
4407,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
4408,George King,Phoenix Suns,Colorado,2018,2,29,59
4409,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
4410,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
4411,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
4412,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
4413,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
4414,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
4415,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
4416,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
4417,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
4418,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
4419,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
4420,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
4421,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
4422,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
4423,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
4424,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
4425,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
4426,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
4427,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
4428,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4429,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
4430,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
4431,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
4432,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
4433,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
4434,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
4435,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
4436,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
4437,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
4438,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
4439,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
4440,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
4441,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
4442,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
4443,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
4444,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
4445,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
4446,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
4447,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
4448,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
4449,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
4450,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
4451,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
4452,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
4453,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
4454,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
4455,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
4456,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
4457,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
4458,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
4459,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
4460,Mitchell Robinson,New York Knicks,,2018,2,6,36
4461,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
4462,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
4463,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
4464,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
4465,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
4466,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
4467,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
4468,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
4469,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
4470,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
4471,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
4472,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
4473,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
4474,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
4475,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
4476,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
4477,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
4478,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
4479,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
4480,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
4481,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
4482,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
4483,George King,Phoenix Suns,Colorado,2018,2,29,59
4484,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
4485,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
4486,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
4487,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
4488,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
4489,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
4490,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
4491,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
4492,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
4493,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
4494,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
4495,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
4496,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
4497,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
4498,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
4499,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
4500,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
4501,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
4502,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
4503,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4504,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
4505,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
4506,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
4507,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
4508,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
4509,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
4510,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
4511,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
4512,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
4513,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
4514,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
4515,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
4516,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
4517,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
4518,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
4519,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
4520,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
4521,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
4522,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
4523,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
4524,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
4525,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
4526,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
4527,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
4528,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
4529,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
4530,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
4531,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
4532,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
4533,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
4534,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
4535,Mitchell Robinson,New York Knicks,,2018,2,6,36
4536,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
4537,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
4538,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
4539,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
4540,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
4541,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
4542,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
4543,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
4544,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
4545,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
4546,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
4547,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
4548,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
4549,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
4550,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
4551,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
4552,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
4553,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
4554,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
4555,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
4556,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
4557,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
4558,George King,Phoenix Suns,Colorado,2018,2,29,59
4559,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
4560,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
4561,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
4562,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
4563,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
4564,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
4565,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
4566,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
4567,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
4568,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
4569,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
4570,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
4571,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
4572,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
4573,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
4574,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
4575,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
4576,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
4577,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
4578,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4579,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
4580,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
4581,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
4582,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
4583,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
4584,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
4585,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
4586,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
4587,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
4588,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
4589,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
4590,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
4591,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
4592,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
4593,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
4594,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
4595,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
4596,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
4597,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
4598,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
4599,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
4600,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
4601,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
4602,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
4603,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
4604,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
4605,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
4606,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
4607,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
4608,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
4609,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
4610,Mitchell Robinson,New York Knicks,,2018,2,6,36
4611,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
4612,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
4613,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
4614,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
4615,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
4616,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
4617,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
4618,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
4619,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
4620,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
4621,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
4622,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
4623,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
4624,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
4625,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
4626,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
4627,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
4628,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
4629,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
4630,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
4631,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
4632,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
4633,George King,Phoenix Suns,Colorado,2018,2,29,59
4634,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
4635,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
4636,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
4637,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
4638,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
4639,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
4640,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
4641,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
4642,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
4643,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
4644,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
4645,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
4646,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
4647,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
4648,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
4649,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
4650,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
4651,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
4652,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
4653,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4654,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
4655,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
4656,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
4657,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
4658,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
4659,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
4660,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
4661,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
4662,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
4663,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
4664,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
4665,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
4666,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
4667,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
4668,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
4669,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
4670,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
4671,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
4672,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
4673,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
4674,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
4675,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
4676,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
4677,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
4678,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
4679,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
4680,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
4681,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
4682,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
4683,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
4684,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
4685,Mitchell Robinson,New York Knicks,,2018,2,6,36
4686,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
4687,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
4688,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
4689,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
4690,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
4691,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
4692,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
4693,Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
4694,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
4695,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
4696,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
4697,Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
4698,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
4699,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
4700,Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
4701,Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
4702,Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
4703,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
4704,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
4705,Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
4706,Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
4707,Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
4708,George King,Phoenix Suns,Colorado,2018,2,29,59
4709,Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
4710,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
4711,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
4712,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
4713,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
4714,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
4715,Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
4716,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
4717,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
4718,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
4719,Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
4720,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
4721,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
4722,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
4723,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
4724,Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
4725,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
4726,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
4727,Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
4728,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
4729,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
4730,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
4731,Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
4732,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
4733,Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
4734,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
4735,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
4736,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
4737,Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
4738,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
4739,Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
4740,Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
4741,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
4742,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
4743,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
4744,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
4745,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
4746,Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
4747,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
4748,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
4749,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
4750,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
4751,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
4752,Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
4753,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
4754,Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
4755,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
4756,Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
4757,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
4758,Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
4759,Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
4760,Mitchell Robinson,New York Knicks,,2018,2,6,36
4761,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
4762,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
4763,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
4764,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
