,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
1406,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
1407,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
1408,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
1409,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
1410,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
1411,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
1412,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
1413,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
1414,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
1415,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
1416,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
1417,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
1418,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
1419,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
1420,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
1421,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
1422,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
1423,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
1424,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
1425,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
1426,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
1427,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
1428,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
1429,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
1430,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
1431,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
1432,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
1433,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
1434,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
1435,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1436,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1437,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
1438,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
1439,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
1440,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
1441,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
1442,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1443,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
1444,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
1445,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
1446,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1447,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
1448,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
1449,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1450,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
1451,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1452,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
1453,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
1454,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
1455,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
1456,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
1457,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
1458,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
1459,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1460,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
1461,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
1462,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
1463,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
1464,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1465,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
1466,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
1467,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
1468,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
1469,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
1470,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
1471,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
1472,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1473,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
1474,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
1475,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
1476,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
1477,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
1478,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
1479,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
1480,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
1481,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
1482,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
1483,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
1484,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
1485,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
1486,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
1487,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
1488,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
1489,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
1490,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
1491,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
1492,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
1493,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
1494,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
1495,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
1496,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
1497,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
1498,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
1499,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
1500,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
1501,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
1502,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
1503,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
1504,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1505,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1506,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
1507,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
1508,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
1509,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
1510,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
1511,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1512,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
1513,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
1514,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
1515,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1516,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
1517,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
1518,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1519,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
1520,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1521,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
1522,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
1523,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
1524,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
1525,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
1526,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
1527,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
1528,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1529,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
1530,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
1531,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
1532,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
1533,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1534,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
1535,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
1536,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
1537,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
1538,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
1539,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
1540,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
1541,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1542,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
1543,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
1544,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
1545,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
1546,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
1547,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
1548,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
1549,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
1550,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
1551,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
1552,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
1553,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
1554,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
1555,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
1556,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
1557,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
1558,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
1559,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
1560,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
1561,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
1562,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
1563,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
1564,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
1565,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
1566,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
1567,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
1568,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
1569,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
1570,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
1571,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
1572,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
1573,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1574,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1575,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
1576,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
1577,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
1578,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
1579,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
1580,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1581,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
1582,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
1583,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
1584,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1585,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
1586,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
1587,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1588,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
1589,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1590,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
1591,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
1592,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
1593,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
1594,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
1595,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
1596,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
1597,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1598,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
1599,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
1600,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
1601,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
1602,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1603,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
1604,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
1605,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
1606,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
1607,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
1608,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
1609,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
1610,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1611,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
1612,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
1613,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
1614,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
1615,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
1616,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
1617,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
1618,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
1619,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
1620,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
1621,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
1622,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
1623,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
1624,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
1625,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
1626,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
1627,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
1628,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
1629,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
1630,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
1631,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
1632,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
1633,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
1634,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
1635,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
1636,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
1637,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
1638,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
1639,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
1640,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
1641,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
1642,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1643,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1644,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
1645,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
1646,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
1647,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
1648,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
1649,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1650,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
1651,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
1652,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
1653,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1654,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
1655,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
1656,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
1657,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
1658,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
1659,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
1660,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
1661,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
1662,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
1663,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
1664,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
1665,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
1666,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1667,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
1668,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
1669,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
1670,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
1671,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1672,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
1673,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
1674,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
1675,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
1676,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
1677,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
1678,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
1679,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1680,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
1681,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
1682,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
1683,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
1684,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
1685,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
1686,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
1687,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
1688,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
1689,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
1690,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
1691,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
1692,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
1693,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
1694,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
1695,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
1696,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
1697,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
1698,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
1699,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
1700,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
1701,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
1702,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
1703,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
1704,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
1705,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
1706,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
1707,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
1708,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
1709,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
1710,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
1711,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
1712,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
1713,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
1714,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
1715,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
1716,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
1717,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
1718,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
1719,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
1720,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
1721,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
1722,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
