,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
4340,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4341,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
4342,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
4343,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
4344,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4345,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
4346,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
4347,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
4348,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
4349,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4350,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
4351,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
4352,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
4353,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
4354,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
4355,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
4356,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
4357,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4358,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
4359,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
4360,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
4361,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
4362,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4363,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
4364,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
4365,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
4366,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
4367,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
4368,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
4369,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
4370,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4371,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
4372,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
4373,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
4374,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
4375,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
4376,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
4377,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
4378,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
4379,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
4380,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
4381,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
4382,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
4383,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
4384,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
4385,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
4386,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
4387,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
4388,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
4389,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
4390,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
4391,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
4392,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
4393,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
4394,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
4395,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
4396,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
4397,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
4398,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
4399,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
4400,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
4401,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
4402,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4403,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4404,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
4405,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
4406,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
4407,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
4408,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
4409,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4410,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
4411,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
4412,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
4413,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4414,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
4415,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
4416,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
4417,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
4418,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4419,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
4420,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
4421,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
4422,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
4423,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
4424,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
4425,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
4426,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4427,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
4428,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
4429,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
4430,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
4431,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4432,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
4433,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
4434,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
4435,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
4436,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
4437,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
4438,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
4439,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4440,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
4441,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
4442,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
4443,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
4444,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
4445,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
4446,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
4447,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
4448,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
4449,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
4450,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
4451,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
4452,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
