,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
690,Vanderbilt,34,5,15.6,1.6,3.3,0.5,0.1,0.5,0.278,0.5,1.2,0.429,1.6,2.2,3.8,0.7,0.6,0.1,1.6,0.6,4,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,Drafted,2004-05,1/1/2004,1/1/2005
694,Auburn,31,31,35.6,5.8,13.6,0.424,2,5.4,0.373,3.4,4.3,0.789,0.8,4.5,5.3,1.8,1.4,0.1,2.5,2.5,16.9,https://www.sports-reference.com/cbb/players/toney-douglas-1.html,Drafted,2004-05,1/1/2004,1/1/2005
1287,Washington State,27,0,11.5,1.4,4.8,0.292,1,3.4,0.308,0.1,0.2,0.333,0.2,1.1,1.4,0.5,0.3,0.1,1,0.6,3.9,https://basketball.realgm.com/player/Josh-Akognon/NCAA/2578/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1307,Seton Hall,18,0,5.6,0.1,0.4,0.25,0,0,0,0.2,0.2,1,0.5,0.6,1.1,0.1,0,0.4,1.1,0.1,0.4,https://basketball.realgm.com/player/Marcus-Cousin/NCAA/1758/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1315,Boston University,29,1,15.6,1.1,3.3,0.33,0.1,0.9,0.16,0.7,1.3,0.553,0.8,2,2.9,1,0.6,0.8,1.1,0.9,3.1,https://basketball.realgm.com/player/Tony-Gaffney/NCAA/1789/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1330,St. John's,27,23,24.4,1.5,4.4,0.339,0.3,1.4,0.231,0.9,1.3,0.657,1.4,2.2,3.6,1.7,1.8,0.2,2.9,1.3,4.1,https://basketball.realgm.com/player/Cedric-Jackson/NCAA/5665/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1384,Pepperdine,31,7,14.1,1.5,2.5,0.603,0,0,0,0.8,1.3,0.65,1.3,1.8,3,0.4,0.4,1.5,2.5,0.6,3.9,https://basketball.realgm.com/player/Russell-Hicks/NCAA/8457/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
1422,Portland,30,1,23.6,3.9,7.9,0.487,0,0,0,1.4,3.1,0.441,2.2,3.4,5.6,1,0.4,0.5,2.4,1.7,9.1,https://basketball.realgm.com/player/Marcus-Lewis/NCAA/8503/2005/By_Season/Per_Game,Undrafted,2004-05,1/1/2004,1/1/2005
620,Syracuse,20,0,8,1,2.7,0.377,0.8,2.3,0.326,0.2,0.3,0.5,0.3,0.6,0.9,0.7,0.3,0.1,1.2,0.2,2.9,https://www.sports-reference.com/cbb/players/andy-rautins-1.html,Drafted,2005-06,1/1/2005,1/1/2006
665,Louisville,33,21,25.1,3.2,8.1,0.391,1.2,3.9,0.31,0.9,1.5,0.612,1,3.7,4.7,2.1,1,0.3,1.8,1.7,8.4,https://www.sports-reference.com/cbb/players/terrence-williams-1.html,Drafted,2005-06,1/1/2005,1/1/2006
682,UCLA,39,2,19.2,2,5,0.402,0.5,1.5,0.328,1,1.3,0.784,0.4,1.4,1.8,2.3,0.9,0.1,1.4,2,5.5,https://www.sports-reference.com/cbb/players/darren-collison-1.html,Drafted,2005-06,1/1/2005,1/1/2006
691,Vanderbilt,30,16,29.1,4.5,8.8,0.511,0.1,0.6,0.176,1.7,2.9,0.605,2.7,3.6,6.4,2,1.2,0.4,2.7,1.8,10.8,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,Drafted,2005-06,1/1/2005,1/1/2006
698,Arizona State,27,22,25.5,4.3,8.6,0.494,0,0.1,0,2.4,3.3,0.73,2.1,4,6.1,0.6,0.4,0.9,3.4,1.9,10.9,https://www.sports-reference.com/cbb/players/jeff-pendergraph-1.html,Drafted,2005-06,1/1/2005,1/1/2006
702,Villanova,33,4,19.1,0.9,1.9,0.468,0,0,,0.4,1,0.394,1.8,2.2,4,0.8,0.8,0.6,2.4,0.8,2.2,https://www.sports-reference.com/cbb/players/dante-cunningham-1.html,Drafted,2005-06,1/1/2005,1/1/2006
709,Pitt,33,3,20.4,3,5.7,0.521,0.1,0.6,0.19,1.8,2.7,0.693,1.8,2.6,4.4,0.8,0.7,0.6,1.4,1.5,7.9,https://www.sports-reference.com/cbb/players/sam-young-1.html,Drafted,2005-06,1/1/2005,1/1/2006
713,Washington,33,32,24.1,3.5,6.8,0.518,0,0,,1.4,2.1,0.667,2.6,3.9,6.5,0.7,1.1,0.1,2.5,1.4,8.4,https://www.sports-reference.com/cbb/players/jon-brockman-1.html,Drafted,2005-06,1/1/2005,1/1/2006
730,UNC,31,0,15.3,2.6,6,0.433,0.9,2.5,0.355,1.4,1.7,0.792,1.2,2.6,3.7,1.1,0.7,1,1.6,1.3,7.5,https://www.sports-reference.com/cbb/players/danny-green-1.html,Drafted,2005-06,1/1/2005,1/1/2006
734,Oklahoma,27,0,11.5,1.1,2.1,0.518,0,0.1,0,1,1.3,0.794,1.1,1.7,2.8,0.5,0.6,0.3,1.8,0.7,3.1,https://www.sports-reference.com/cbb/players/taylor-griffin-1.html,Drafted,2005-06,1/1/2005,1/1/2006
1237,Marquette,23,13,24.9,2.8,7.1,0.399,0.6,1.4,0.438,2.7,3.5,0.787,1.5,2.6,4,2.2,1.3,0.2,2.2,2.3,9,https://basketball.realgm.com/player/Wesley-Matthews/NCAA/1653/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1242,Alabama,31,7,23.1,3.3,6.9,0.484,0.8,2.6,0.296,1.2,2.3,0.514,1.5,1.9,3.4,1.2,0.9,0.2,1.9,1.9,8.6,https://basketball.realgm.com/player/Alonzo-Gee/NCAA/1657/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1247,LSU,36,35,33.5,1.8,5.4,0.335,0.8,3,0.248,0.7,1,0.676,0.5,2.1,2.6,2.8,1.1,0.9,2.4,1.9,5.1,https://basketball.realgm.com/player/Garrett-Temple/NCAA/1757/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1252,Washington State,28,12,16.5,2.1,5,0.429,0,0,0,0.9,1.4,0.641,1.5,2.7,4.2,0.1,0.2,0.5,1.9,1.1,5.2,https://basketball.realgm.com/player/Aron-Baynes/NCAA/1790/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1257,Connecticut,33,1,16.5,2.5,4.1,0.61,0,0,0,1.5,2.4,0.641,2.1,2.9,5,0.5,0.4,0.8,1.3,0.8,6.5,https://basketball.realgm.com/player/Jeff-Adrien/NCAA/1641/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1262,LSU,10,0,4.4,0.6,1.8,0.333,0,0.6,0,0.1,0.2,0.5,0,0.7,0.7,0.3,0.2,0.3,0.2,0.6,1.3,https://basketball.realgm.com/player/Chris-Johnson/NCAA/1655/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1267,Marquette,31,31,27.5,4.5,10.1,0.442,0.4,1.5,0.283,1.7,2.3,0.75,1.3,3.2,4.5,2.7,2.1,0.5,2.5,3.8,11.1,https://basketball.realgm.com/player/Jerel-McNeal/NCAA/1638/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1272,Washington,33,32,27.7,2.4,5.8,0.409,0.6,2.1,0.286,2.9,3.6,0.814,1.2,2.3,3.5,3.8,1.6,0.2,2.5,2.7,8.3,https://basketball.realgm.com/player/Justin-Dentmon/NCAA/4709/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1277,Oklahoma State,32,8,13.4,1.6,3.4,0.463,0.5,1.1,0.429,0.9,1.2,0.757,0.8,1.9,2.7,0.8,0.5,0.1,1.8,1.4,4.5,https://basketball.realgm.com/player/Terrel-Harris/NCAA/1648/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1282,Gonzaga,33,27,17.1,0.9,3.2,0.279,0.2,1.1,0.229,0.7,1,0.676,0.4,1.8,2.2,2,0.9,0.1,1.2,1.7,2.7,https://basketball.realgm.com/player/Jeremy-Pargo/NCAA/1701/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1286,Washington State,28,14,23.7,3.5,8.6,0.409,2,5.3,0.372,1.2,1.6,0.795,0.3,2.1,2.5,1.5,0.7,0.2,1.8,1.5,10.3,https://basketball.realgm.com/player/Josh-Akognon/NCAA/2578/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1292,Georgia Tech,22,0,8.7,1,2.1,0.489,0,0,0,0.5,1,0.545,0.7,1.7,2.4,0.3,0.3,0.3,1,0.7,2.6,https://basketball.realgm.com/player/Alade-Aminu/NCAA/1779/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1297,Memphis,37,21,27.3,2.4,5.6,0.421,1.1,3.1,0.365,1.4,2.1,0.633,1.1,2.3,3.4,2.8,1.5,0.2,1.7,1.6,7.2,https://basketball.realgm.com/player/Antonio-Anderson/NCAA/1763/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1302,Temple,32,2,11.3,1,3.6,0.281,0.6,2.5,0.25,0.8,1.4,0.587,0.7,0.9,1.6,0.5,0.5,0.2,0.9,0.4,3.5,https://basketball.realgm.com/player/Dionte-Christmas/NCAA/1635/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1306,Seton Hall,26,13,13.1,0.7,1.9,0.38,0,0,0,0.6,0.8,0.8,1.4,2.1,3.5,0.1,0.2,0.5,1.5,0.4,2.1,https://basketball.realgm.com/player/Marcus-Cousin/NCAA/1758/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1314,Boston University,17,1,16.9,1.9,4.4,0.446,0.1,0.5,0.111,0.6,1.2,0.5,0.9,2,2.9,0.8,1,0.5,1.5,1,4.5,https://basketball.realgm.com/player/Tony-Gaffney/NCAA/1789/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1320,Siena,28,28,31.5,4.2,9.1,0.463,1.1,2.7,0.408,2.8,3.5,0.814,1.2,3,4.2,2.6,1.9,0.1,2.8,1.7,12.4,https://basketball.realgm.com/player/Kenny-Hasbrouck/NCAA/1803/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1325,Duquesne,27,21,31,2.5,5.9,0.419,0.6,1.8,0.347,1.2,1.5,0.8,0.9,2.3,3.2,3.6,1.1,0.1,1.6,2.1,6.8,https://basketball.realgm.com/player/Aaron-Jackson/NCAA/1723/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1329,St. John's,27,10,24,1.6,4.6,0.358,0.2,1.5,0.125,1,2,0.473,1.1,2.2,3.4,1.7,1.3,0.2,2.4,1.6,4.4,https://basketball.realgm.com/player/Cedric-Jackson/NCAA/5665/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1335,Baylor,17,17,33.4,4.8,11,0.439,1.7,4.6,0.367,2.2,3,0.725,0.6,3.1,3.7,3.3,1.4,0.1,1.8,2.9,13.5,https://basketball.realgm.com/player/Curtis-Jerrells/NCAA/1640/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1340,Wisconsin,16,0,15.3,2.2,4.8,0.474,0.2,0.7,0.364,1.2,1.8,0.714,1.4,1.8,3.2,1.2,0.4,0.4,1.4,1.3,6,https://basketball.realgm.com/player/Marcus-Landry/NCAA/1810/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1345,Saint Mary's,29,1,21.6,2.9,6,0.486,0.1,0.3,0.2,2.3,4,0.564,3,4,6.9,0.5,1.1,1.6,2.2,1.5,8.2,https://basketball.realgm.com/player/Diamon-Simpson/NCAA/1776/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1350,Notre Dame,27,8,13.8,1.2,3.3,0.364,0.7,2.2,0.339,0.3,0.6,0.471,0.8,2.3,3.1,1,0.1,0.3,1.5,0.9,3.4,https://basketball.realgm.com/player/Luke-Zeller/NCAA/1695/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1355,Texas,29,0,7.7,0.8,2.1,0.377,0.3,0.9,0.308,0.5,0.7,0.7,0.5,1.2,1.8,0.1,0.2,0.5,1.3,0.7,2.3,https://basketball.realgm.com/player/Connor-Atchley/NCAA/1782/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1360,Pittsburgh,31,0,8.2,0.7,1.9,0.39,0,0,0,0.3,0.4,0.769,0.5,0.6,1.1,0.1,0.1,0.3,0.9,0.4,1.8,https://basketball.realgm.com/player/Tyrell-Biggs/NCAA/1693/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1365,Kansas,13,0,11.6,1.5,3.8,0.38,0.9,2.5,0.375,0.5,0.8,0.545,0.7,2,2.7,1,0.1,0.2,1,0.7,4.3,https://basketball.realgm.com/player/Micah-Downs/NCAA/1769/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1370,NC State,17,0,7.5,0.8,2.2,0.351,0.3,1.4,0.217,0.2,0.4,0.429,0.5,1.4,1.9,0.2,0.3,0.2,0.7,0.4,2,https://basketball.realgm.com/player/Courtney-Fells/NCAA/1654/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1375,Stanford,22,3,10,1,2.5,0.389,0.5,1.5,0.344,0.3,0.4,0.75,0.5,1,1.5,0.5,0.2,0,1.2,0.8,2.7,https://basketball.realgm.com/player/Anthony-Goods/NCAA/4712/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1383,Pepperdine,16,7,17,2,4.4,0.457,0,0,0,1,1.2,0.842,1,1.8,2.8,0.4,0.3,0.9,1.8,0.9,5,https://basketball.realgm.com/player/Russell-Hicks/NCAA/8457/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1389,Stanford,30,0,15.3,1.7,4.4,0.386,0.4,1.2,0.297,1,1.4,0.707,0.9,2.5,3.4,0.6,0.6,0.8,1.7,0.8,4.7,https://basketball.realgm.com/player/Lawrence-Hill/NCAA/1781/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1394,Marquette,31,31,32.5,5.6,13,0.431,1.3,4.4,0.301,2.7,4.2,0.641,0.8,3.7,4.5,5.4,1.6,0.4,2.4,2.8,15.3,https://basketball.realgm.com/player/Dominic-James/NCAA/1747/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1399,NC State,27,0,6.7,0.6,1.4,0.459,0.1,0.4,0.3,0.8,1.1,0.677,0.4,0.9,1.3,0.3,0.2,0,0.8,0.2,2.1,https://basketball.realgm.com/player/Ben-McCauley/NCAA/1788/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1404,Utah,29,12,23.5,4,7.5,0.532,0,0,0,3.6,5.3,0.671,2,4.6,6.6,0.9,0.3,0.9,2.7,1.9,11.6,https://basketball.realgm.com/player/Luke-Nevill/NCAA/1799/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1414,Clemson,22,4,6.7,0.5,0.9,0.55,0,0,0,0.1,0.2,0.4,0.5,1,1.5,0.1,0.3,0.4,0.7,0.5,1.1,https://basketball.realgm.com/player/Raymond-Sykes/NCAA/3484/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1421,Portland,21,10,24,4.3,8.6,0.5,0,0,0,1.9,3.8,0.494,2.1,3.7,5.8,1,0.8,0.2,3.1,2,10.4,https://basketball.realgm.com/player/Marcus-Lewis/NCAA/8503/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1455,Syracuse,29,1,8.4,0.8,1.4,0.561,0,0,0,0.4,0.9,0.444,1,1.6,2.7,0.1,0.2,0.4,1.1,0.4,2,https://basketball.realgm.com/player/Arinze-Onuaku/NCAA/2316/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1520,Duke,19,0,2.7,0.3,0.4,0.857,0,0,0,0.1,0.1,1,0.2,0.6,0.8,0.1,0.1,0,0.6,0.3,0.7,https://basketball.realgm.com/player/Eric-Boateng/NCAA/1954/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1530,Mississippi State,23,7,19.7,1.4,3.3,0.427,0.5,1.5,0.324,0.3,0.6,0.462,0.4,1,1.4,2,0.3,0.2,1.1,1.3,3.5,https://basketball.realgm.com/player/Richard-Delk/NCAA/5855/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1546,Mississippi State,23,0,7.6,0.6,1.3,0.419,0,0,0,0.7,1.3,0.484,1,1,1.9,0,0.1,0.3,1.6,0.3,1.8,https://basketball.realgm.com/player/Vernon-Goodridge/NCAA/5856/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1585,St. John's,24,24,28.2,3.3,7.9,0.416,1.2,3.6,0.322,0.7,1,0.667,1.7,3.2,5,1.3,0.7,0.5,2.1,1.5,8.4,https://basketball.realgm.com/player/Anthony-Mason-Jr/NCAA/6466/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1591,LSU,36,36,34.4,4.5,10.1,0.444,0.8,2.6,0.295,1.7,2.2,0.741,2,3.6,5.6,2.8,1.4,0.5,2.4,2.3,11.4,https://basketball.realgm.com/player/Tasmin-Mitchell/NCAA/1953/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1600,Arizona,28,0,12.4,0.9,3,0.286,0.2,1.1,0.219,0.2,0.5,0.429,0.4,1.5,1.9,1.8,0.9,0.4,1,1.1,2.2,https://basketball.realgm.com/player/JP-Prince/NCAA/5913/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
1670,Illinois,32,0,19.2,2.7,5.7,0.47,2.1,4.3,0.482,0.6,0.8,0.704,0.5,1.1,1.7,1.3,0.5,0,0.9,1.1,8,https://basketball.realgm.com/player/Jamar-Smith/NCAA/4032/2006/By_Season/Per_Game,Undrafted,2005-06,1/1/2005,1/1/2006
544,Georgetown,31,0,9.8,1.3,1.7,0.741,0,0,,0.3,0.7,0.435,0.7,0.7,1.5,0.5,0,0.1,1,0.5,2.9,https://www.sports-reference.com/cbb/players/vernon-macklin-1.html,Drafted,2006-07,1/1/2006,1/1/2007
562,Michigan,35,7,20.3,2.2,4.6,0.469,0,0.1,0,0.7,1.2,0.585,1.7,2.3,4,0.8,0.7,1.9,1.9,0.8,5,https://www.sports-reference.com/cbb/players/ekpe-udoh-1.html,Drafted,2006-07,1/1/2006,1/1/2007
590,Clemson,36,36,25.9,4.4,7.3,0.602,0,0,,1.6,2.5,0.615,3.1,3.3,6.4,1.1,0.9,2.2,2.6,2,10.4,https://www.sports-reference.com/cbb/players/trevor-booker-1.html,Drafted,2006-07,1/1/2006,1/1/2007
594,Texas,35,35,25.9,2.8,5.7,0.493,0,0.3,0.091,1.9,3.2,0.595,2.5,4.7,7.2,0.9,0.6,1.2,2.9,1.5,7.6,https://www.sports-reference.com/cbb/players/damion-james-1.html,Drafted,2006-07,1/1/2006,1/1/2007
601,Washington,32,22,23.9,3.9,7.8,0.498,0.6,1.5,0.375,2.4,3.1,0.76,1.5,2.5,4,1.5,0.7,0.2,2.6,2,10.7,https://www.sports-reference.com/cbb/players/quincy-pondexter-1.html,Drafted,2006-07,1/1/2006,1/1/2007
608,Marquette,34,16,16.3,2.4,5.7,0.428,0.3,1.4,0.208,1.4,2.1,0.667,1.8,1.9,3.6,0.3,0.6,0.1,2.1,1,6.6,https://www.sports-reference.com/cbb/players/lazar-hayward-1.html,Drafted,2006-07,1/1/2006,1/1/2007
612,Texas,29,0,5.3,1,1.7,0.604,0,0,,0.6,1.2,0.471,1,0.8,1.8,0.1,0.2,0.3,1.4,0.4,2.6,https://www.sports-reference.com/cbb/players/dexter-pittman-1.html,Drafted,2006-07,1/1/2006,1/1/2007
621,Syracuse,35,20,21.2,2.4,6.5,0.372,1.9,5.4,0.356,0.5,0.7,0.708,0.4,1.5,2,1.5,1.3,0.2,1.8,1.3,7.2,https://www.sports-reference.com/cbb/players/andy-rautins-1.html,Drafted,2006-07,1/1/2006,1/1/2007
624,Stanford,30,0,14,1.5,4.1,0.363,0.7,2.2,0.303,0.5,0.8,0.652,0.8,1.7,2.5,0.7,0.2,0.1,1,0.8,4.2,https://www.sports-reference.com/cbb/players/landry-fields-1.html,Drafted,2006-07,1/1/2006,1/1/2007
629,Mississippi State,35,13,13.5,2.1,3.3,0.647,0,0,0,0.7,1.3,0.533,1.7,2.4,4.2,0.3,0.3,1.9,2.1,0.5,5,https://www.sports-reference.com/cbb/players/jarvis-varnado-1.html,Drafted,2006-07,1/1/2006,1/1/2007
635,Tulsa,23,10,7.8,1.3,2.1,0.592,0,0,,0.1,0.5,0.273,0.7,1.4,2.1,0.2,0.1,0.7,0.9,0.7,2.7,https://www.sports-reference.com/cbb/players/jerome-jordan-1.html,Drafted,2006-07,1/1/2006,1/1/2007
647,Western Kentucky,32,30,21,2.7,4.2,0.644,0,0,1,1.5,2.3,0.671,2.5,3.2,5.7,0.5,0.6,1.4,2.2,0.9,7,https://www.sports-reference.com/cbb/players/jeremy-evans-1.html,Drafted,2006-07,1/1/2006,1/1/2007
651,Rutgers,29,2,13.3,1,1.9,0.5,0,0,,0.7,1.4,0.5,1.1,1.9,2.9,0.2,0.3,1.7,2,0.9,2.7,https://www.sports-reference.com/cbb/players/hamady-ndiaye-1.html,Drafted,2006-07,1/1/2006,1/1/2007
655,Louisville,17,2,14.1,3.2,5.6,0.573,0,0,,1.7,3.2,0.527,2.5,1.3,3.8,0.3,0.3,0.4,3.1,1.8,8.2,https://www.sports-reference.com/cbb/players/derrick-caracter-1.html,Drafted,2006-07,1/1/2006,1/1/2007
661,Arizona,29,12,14.1,2,3.1,0.652,0,0,,0.7,1.6,0.447,1.6,2.5,4.1,0.1,0.2,0.9,1.8,0.7,4.7,https://www.sports-reference.com/cbb/players/jordan-hill-1.html,Drafted,2006-07,1/1/2006,1/1/2007
666,Louisville,34,34,33,4.6,12.7,0.367,1.4,5.5,0.261,1.7,2.8,0.604,2.1,4.9,7,3.8,1.3,0.7,2.1,2.4,12.4,https://www.sports-reference.com/cbb/players/terrence-williams-1.html,Drafted,2006-07,1/1/2006,1/1/2007
669,Duke,32,10,19.3,2.7,6,0.451,0.3,0.8,0.32,1.2,1.8,0.627,0.9,2,2.9,1.1,0.5,0.3,1.4,1.3,6.8,https://www.sports-reference.com/cbb/players/gerald-henderson-2.html,Drafted,2006-07,1/1/2006,1/1/2007
672,Louisville,32,5,16,2.2,4.6,0.48,0.3,0.8,0.37,1.2,1.9,0.597,1.4,2.4,3.8,0.4,0.7,0.4,1.2,0.8,5.9,https://www.sports-reference.com/cbb/players/earl-clark-1.html,Drafted,2006-07,1/1/2006,1/1/2007
683,UCLA,35,35,33,4.3,8.9,0.478,1.5,3.3,0.447,2.7,3.3,0.81,0.3,1.9,2.3,5.7,2.2,0.1,1.5,2.9,12.7,https://www.sports-reference.com/cbb/players/darren-collison-1.html,Drafted,2006-07,1/1/2006,1/1/2007
687,USC,37,37,32.4,4.7,8.4,0.558,0,0,,2.8,4.5,0.623,2.7,5.9,8.7,1.5,0.5,1.9,3,2.9,12.2,https://www.sports-reference.com/cbb/players/taj-gibson-1.html,Drafted,2006-07,1/1/2006,1/1/2007
695,Florida State,30,28,28.8,4.8,10,0.475,1,2.6,0.397,2.1,2.7,0.788,0.8,2,2.7,2.9,1.2,0.3,1.8,2.4,12.7,https://www.sports-reference.com/cbb/players/toney-douglas-1.html,Drafted,2006-07,1/1/2006,1/1/2007
699,Arizona State,30,29,33.6,4.8,8.8,0.551,0,0.2,0,2.4,3.3,0.73,3.9,5.1,9.1,0.9,0.6,0.7,3.5,2.3,12.1,https://www.sports-reference.com/cbb/players/jeff-pendergraph-1.html,Drafted,2006-07,1/1/2006,1/1/2007
703,Villanova,33,27,27.3,3,5.8,0.513,0,0,1,2.7,3.4,0.779,2.6,2.8,5.4,0.7,1.3,0.6,2.9,1.7,8.7,https://www.sports-reference.com/cbb/players/dante-cunningham-1.html,Drafted,2006-07,1/1/2006,1/1/2007
706,Georgetown,37,34,26.4,2.9,7.1,0.412,1.1,3.4,0.331,2.2,2.9,0.764,1.6,2.2,3.7,1.1,0.8,0.6,2.1,2.1,9.2,https://www.sports-reference.com/cbb/players/dajuan-summers-1.html,Drafted,2006-07,1/1/2006,1/1/2007
710,Pitt,37,2,17.2,2.8,6.1,0.458,0.4,1.1,0.31,1.2,2.1,0.597,1.3,1.7,3,0.7,0.6,0.5,1.6,1.1,7.2,https://www.sports-reference.com/cbb/players/sam-young-1.html,Drafted,2006-07,1/1/2006,1/1/2007
714,Washington,32,32,28.8,5.5,9.9,0.55,0,0,,3.2,4.9,0.66,3.7,5.9,9.6,1.1,0.8,0.1,2.8,2.6,14.2,https://www.sports-reference.com/cbb/players/jon-brockman-1.html,Drafted,2006-07,1/1/2006,1/1/2007
717,Xavier,34,0,16.9,2.3,3.2,0.706,0.1,0.2,0.5,1.6,2.4,0.7,1.4,2.8,4.1,0.8,0.5,0.6,2.5,1.1,6.3,https://www.sports-reference.com/cbb/players/derrick-brown-1.html,Drafted,2006-07,1/1/2006,1/1/2007
720,Kentucky,34,1,22.1,2.8,6.7,0.419,1.3,3.6,0.364,1.8,2,0.897,0.9,2,2.8,1.5,0.9,0.1,1.3,1.2,8.7,https://www.sports-reference.com/cbb/players/jodie-meeks-1.html,Drafted,2006-07,1/1/2006,1/1/2007
723,Arkansas,35,34,34.4,4.3,10,0.427,2.1,5.4,0.386,3.2,3.9,0.812,1.1,3.3,4.5,3.1,1.7,0.4,2.2,2,13.9,https://www.sports-reference.com/cbb/players/patrick-beverley-1.html,Drafted,2006-07,1/1/2006,1/1/2007
725,Arizona,31,31,33,5.7,11.7,0.485,1.6,4.4,0.368,2.6,3.1,0.845,1.8,4,5.8,2,1.2,0.4,1.7,1.6,15.6,https://www.sports-reference.com/cbb/players/chase-budinger-1.html,Drafted,2006-07,1/1/2006,1/1/2007
731,UNC,37,0,13.6,1.8,4.3,0.411,0.6,2.2,0.296,1.1,1.2,0.848,0.8,1.9,2.8,1.1,0.6,0.7,1.4,0.8,5.2,https://www.sports-reference.com/cbb/players/danny-green-1.html,Drafted,2006-07,1/1/2006,1/1/2007
735,Oklahoma,31,22,23.4,2.3,5.6,0.4,0.1,0.7,0.095,1.7,2.6,0.667,1.8,3.4,5.2,1.4,0.8,0.9,3,1.8,6.3,https://www.sports-reference.com/cbb/players/taylor-griffin-1.html,Drafted,2006-07,1/1/2006,1/1/2007
738,UConn,31,23,23.9,3.2,8.3,0.387,0.8,2.8,0.273,2.2,3.2,0.69,1.1,1.9,3,3.6,1.2,0.1,1.3,2,9.4,https://www.sports-reference.com/cbb/players/aj-price-1.html,Drafted,2006-07,1/1/2006,1/1/2007
1236,Marquette,34,34,31.2,3.9,8.9,0.438,0.7,2.4,0.287,4.1,5.4,0.77,1.9,3.4,5.3,2.2,1.4,0.1,2.5,2.5,12.6,https://basketball.realgm.com/player/Wesley-Matthews/NCAA/1653/2007/By_Season/Per_Game,Undrafted,2006-07,1/1/2006,1/1/2007
