,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
3158,LSU,20,19,30.4,4.5,9.1,0.489,1.9,4.7,0.415,2.2,2.8,0.818,0.3,2.5,2.9,1.6,1.2,0.1,1.7,1.2,13.1,https://basketball.realgm.com/player/Keith-Hornsby/NCAA/31196/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3159,USC,31,31,31,4.2,8.8,0.471,0.5,1.5,0.326,2.8,4,0.704,1,3.9,4.9,5.4,1.2,0.4,2.5,2.7,11.6,https://basketball.realgm.com/player/Julian-Jacobs/NCAA/56848/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3162,USC,31,31,31,4.2,8.8,0.471,0.5,1.5,0.326,2.8,4,0.704,1,3.9,4.9,5.4,1.2,0.4,2.5,2.7,11.6,https://basketball.realgm.com/player/Julian-Jacobs/NCAA/56848/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3163,USC,34,34,25.8,4.5,8.6,0.524,0.2,0.4,0.538,2.9,4.4,0.653,2.1,4.9,7,0.4,0.3,0.8,2.4,1.4,12.1,https://basketball.realgm.com/player/Nikola-Jovanovic/NCAA/32673/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3166,USC,34,34,25.8,4.5,8.6,0.524,0.2,0.4,0.538,2.9,4.4,0.653,2.1,4.9,7,0.4,0.3,0.8,2.4,1.4,12.1,https://basketball.realgm.com/player/Nikola-Jovanovic/NCAA/32673/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3167,Louisville,31,27,27.7,3.9,9.4,0.416,1.5,4.2,0.351,2,2.5,0.795,0.7,2.7,3.4,2.3,1,0.1,1.8,1.7,11.3,https://basketball.realgm.com/player/Trey-Lewis/NCAA/28775/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3171,Louisville,31,27,27.7,3.9,9.4,0.416,1.5,4.2,0.351,2,2.5,0.795,0.7,2.7,3.4,2.3,1,0.1,1.8,1.7,11.3,https://basketball.realgm.com/player/Trey-Lewis/NCAA/28775/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3172,Evansville,34,34,31.8,5.7,9,0.637,0,0,0,4.3,6.2,0.684,2.5,11.5,14,0.3,0.8,2.8,3.2,1.6,15.7,https://basketball.realgm.com/player/Egidijus-Mockevicius/NCAA/24784/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3176,Evansville,34,34,31.8,5.7,9,0.637,0,0,0,4.3,6.2,0.684,2.5,11.5,14,0.3,0.8,2.8,3.2,1.6,15.7,https://basketball.realgm.com/player/Egidijus-Mockevicius/NCAA/24784/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3177,UC Irvine,37,36,23.2,4.6,6.8,0.673,0,0,0,3,4.8,0.631,2,5.2,7.2,0.6,0.2,2.4,2.5,2.2,12.1,https://basketball.realgm.com/player/Mamadou-Ndiaye/NCAA/41432/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
